City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Pevek,RU,2021-10-06 20:31:22,69.7008,170.3133,26.31,77,100,12.88
155,Cubuk,TR,2021-10-06 20:31:23,40.2386,33.0322,52.77,50,0,3.44
156,Caibarien,CU,2021-10-06 20:31:23,22.5206,-79.4669,90.72,74,33,16.64
157,Faya,SA,2021-10-06 20:31:23,18.3851,42.4509,66.31,36,41,8.77
158,Minuri,PH,2021-10-06 20:31:24,16.535,121.8574,73.17,96,100,1.95
159,Shitanjing,CN,2021-10-06 20:31:24,39.2342,106.3439,45.46,82,38,7.67
160,Hovd,MN,2021-10-06 20:31:24,48.0056,91.6419,38.52,40,0,10.04
161,Bat Khela,PK,2021-10-06 20:31:25,34.6167,71.9714,70.38,50,0,6.26
162,Kapaa,US,2021-10-06 20:31:25,22.0752,-159.319,82.72,69,75,5.01
163,Magnitka,RU,2021-10-06 20:31:25,55.3475,59.6961,32.31,95,13,2.73
164,Syracuse,IT,2021-10-06 20:31:25,37.0881,15.2792,70.43,82,6,7.61
165,Miura,JP,2021-10-06 20:31:26,35.14,139.6192,68.36,88,100,11.21
166,Mabaruma,GY,2021-10-06 20:31:26,8.2,-59.7833,78.17,95,24,4.05
167,Khorixas,NA,2021-10-06 20:31:27,-20.3667,14.9667,64.71,35,20,3.42
168,Bubaque,GW,2021-10-06 20:31:27,11.2833,-15.8333,83.12,76,18,9.55
169,Snasa,NO,2021-10-06 20:31:27,64.2457,12.3778,48.61,93,100,1.88
170,Saint George,US,2021-10-06 20:29:25,37.1041,-113.5841,79.43,36,1,3.0
171,Mendi,PG,2021-10-06 20:31:28,-6.1761,143.6513,55.17,97,91,3.02
172,Matara,LK,2021-10-06 20:31:28,5.9485,80.5353,78.12,90,46,8.01
173,Carauari,BR,2021-10-06 20:31:28,-4.8828,-66.8958,83.71,74,90,2.35
174,Gallipoli,TR,2021-10-06 20:31:29,40.4103,26.6708,60.66,70,23,14.41
175,Jalu,LY,2021-10-06 20:31:29,29.0331,21.5482,71.38,35,0,5.84
176,Visby,SE,2021-10-06 20:31:29,57.6409,18.296,55.85,100,90,6.91
177,Bonavista,CA,2021-10-06 20:31:30,48.6499,-53.1147,61.12,70,28,9.53
178,Wajir,KE,2021-10-06 20:31:30,1.7471,40.0573,79.81,57,45,19.15
179,Pangody,RU,2021-10-06 20:31:30,65.85,74.4859,42.46,85,88,21.27
180,Severo-Kurilsk,RU,2021-10-06 20:30:44,50.6789,156.125,43.97,74,55,10.42
181,Geraldton,AU,2021-10-06 20:31:19,-28.7667,114.6,43.21,87,0,5.75
182,Mayumba,GA,2021-10-06 20:31:31,-3.432,10.6554,75.49,82,62,6.51
183,San Gabriel,US,2021-10-06 20:31:31,34.0961,-118.1058,83.71,70,90,5.75
184,Nyurba,RU,2021-10-06 20:31:32,63.2842,118.3319,28.35,91,100,10.29
185,Sonoita,MX,2021-10-06 20:31:32,31.85,-112.8333,88.54,21,4,7.38
186,Krasnopillya,UA,2021-10-06 20:31:32,50.7746,35.2597,40.01,43,18,9.75
187,Edd,ER,2021-10-06 20:31:33,13.9297,41.6925,87.17,73,87,7.05
188,Khor,RU,2021-10-06 20:31:33,47.8861,134.9464,36.37,67,21,4.79
189,Ilulissat,GL,2021-10-06 20:31:34,69.2167,-51.1,30.22,59,75,1.14
190,Alekseyevsk,RU,2021-10-06 20:31:34,57.8406,108.3492,28.31,79,97,7.38
191,Seymchan,RU,2021-10-06 20:31:34,62.8833,152.4333,17.01,71,49,2.82
192,Tura,IN,2021-10-06 20:31:34,25.5198,90.2201,72.72,88,1,2.26
193,Standish,US,2021-10-06 20:31:35,43.9831,-83.9589,70.54,64,2,6.82
194,Smithers,CA,2021-10-06 20:30:38,54.7804,-127.1743,41.32,70,75,0.0
195,Imbituba,BR,2021-10-06 20:31:36,-28.24,-48.6703,66.09,92,100,6.69
196,Muros,ES,2021-10-06 20:31:36,42.7762,-9.0603,68.85,89,3,7.14
197,Fairbanks,US,2021-10-06 20:26:49,64.8378,-147.7164,42.24,73,1,6.91
198,Halifax,CA,2021-10-06 20:29:57,44.6453,-63.5724,71.01,51,40,6.91
199,Nicolet,CA,2021-10-06 20:31:36,46.2168,-72.6158,73.31,56,1,2.3
200,Vila Franca Do Campo,PT,2021-10-06 20:31:37,37.7167,-25.4333,73.81,94,100,13.44
201,Airai,TL,2021-10-06 20:31:37,-8.9266,125.4092,58.03,71,16,2.33
202,Bibiani,GH,2021-10-06 20:31:38,6.4635,-2.3194,72.0,98,100,2.08
203,Charters Towers,AU,2021-10-06 20:31:38,-20.1,146.2667,70.43,82,22,9.37
204,Katobu,ID,2021-10-06 20:31:38,-4.9408,122.5276,73.78,94,48,3.36
205,Hualmay,PE,2021-10-06 20:31:39,-11.0964,-77.6139,66.58,75,33,8.72
206,Horqueta,PY,2021-10-06 20:31:39,-23.3428,-57.0597,98.38,28,57,7.67
207,Mar Del Plata,AR,2021-10-06 20:31:39,-38.0023,-57.5575,52.0,62,40,11.01
208,Suoyarvi,RU,2021-10-06 20:31:40,62.0833,32.35,47.17,77,23,14.09
209,Kyaikkami,MM,2021-10-06 20:31:40,16.08,97.5675,78.39,86,100,2.71
210,Port Blair,IN,2021-10-06 20:31:41,11.6667,92.75,80.76,78,100,11.97
211,Mount Gambier,AU,2021-10-06 20:31:37,-37.8333,140.7667,42.71,87,75,5.75
212,Kavaratti,IN,2021-10-06 20:31:41,10.5669,72.642,81.43,79,100,10.36
213,Brooks,CA,2021-10-06 20:30:38,50.5834,-111.8851,72.23,32,78,9.22
214,Wenshang,CN,2021-10-06 20:31:41,35.7275,116.4961,53.83,95,100,10.67
215,Vao,NC,2021-10-06 20:31:42,-22.6667,167.4833,69.85,60,0,17.76
216,Mount Isa,AU,2021-10-06 20:31:42,-20.7333,139.5,65.97,42,14,0.0
217,Mawlaik,MM,2021-10-06 20:31:42,23.6333,94.4167,75.65,90,19,0.58
